1st,2nd,3rd,4th,5th,College Code,Gender,Roll,Roll no.,Subject Code
6.744067519636624,5.463210248702182,6.28879849931693,6.8234520158024345,5.977686885511316,165,Male,17000,19,16
7.5759468318620975,6.832591371356091,5.884588508662244,8.198730247590753,8.220087450545634,115,Female,17771,21,16
7.0138168803582195,4.687072132001619,7.511675647278782,5.884418274006672,4.752208752465348,115,Male,17703,18,16
6.724415914984484,5.748560923640287,5.0366205251497576,6.498379981299296,5.531546994424602,115,Male,17448,21,28
6.118273996694524,4.266081895809537,4.371397697383624,4.406512058121735,4.472851164214279,165,Female,17365,21,16
7.229470565333281,5.895340718910639,5.830133125595262,5.6207760166646,5.757387573639181,115,Female,17489,19,28
6.187936056313463,4.570756728615552,5.703176723609838,8.578256531003486,4.048996226839624,115,Male,17187,24,16
8.458865003910399,6.80906455901148,4.6026205153908215,8.26726185814903,6.459667961552756,241,Male,17569,19,28
8.818313802505147,7.207968671978309,8.272811479231914,6.9707825068383045,8.887677292898818,165,Female,17421,29,28
5.917207594128889,8.93545768338348,7.340738940541041,8.526827738991775,8.758366022677055,115,Male,17356,28,28
7.958625190413323,4.9756933112972,4.128955817447843,6.134638576029285,6.345300064389265,165,Male,17523,19,16
6.644474598764522,5.036010744012319,6.700797785538925,8.68805358600812,7.550114527398991,241,Female,17361,16,16
6.840222805469661,8.737097592948825,4.769015934750859,8.729354003461514,6.0713981940602375,165,Male,17393,24,28
8.627983191463304,8.323204192284091,6.556100683733314,6.849839157320646,7.6310793048279395,165,Male,17942,16,28
4.355180290989435,7.080270247186094,7.856262796864748,4.251015931625344,4.546691216273121,115,Male,17629,26,16
4.435646498507704,8.207036183751045,6.065268080325303,8.423309689307821,5.037065377209892,115,Male,17000,29,16
4.101091987201628,5.048460723607443,6.984324443429498,8.556941643297355,4.799876607102907,241,Female,17001,28,16
8.16309922773969,8.37014411431718,6.732194645295985,8.715268016875207,6.2643386732868525,241,Female,17395,26,28
7.890783754749252,8.336537548373203,6.888029298790095,6.360098377057092,8.197759053005973,165,Female,17870,29,28
8.350060741234095,5.240561242400313,6.390585672553289,5.45646588360276,4.118821029760033,241,Male,17495,26,16
8.89309171116382,6.541866571299399,4.8351598242922265,4.437564873833304,7.986805857413734,165,Male,17547,27,28
7.995792821083618,8.648871319455022,5.208071347564793,8.396674118491413,4.754645694492078,165,Male,17518,23,16
6.30739681126466,7.395749980837426,8.470246733084748,7.615101376972822,8.303683335605546,241,Male,17187,23,28
7.902645881432277,7.302595526603703,7.691032436798481,8.009028088480372,8.02160784553336,165,Male,17504,28,16
4.591372129344666,6.7988230028218295,8.91432919278268,7.845331669272655,8.988889882436812,115,Male,17741,20,28
7.19960510663762,5.344157823466251,4.270650381221948,8.086827300062918,7.279700803205936,241,Male,17216,28,28
4.716766437045232,8.892076857556294,5.5828605226015675,4.554948329364882,4.946558044368667,241,Male,17066,21,28
8.723344585247919,6.2375482281109145,8.796438452652659,5.691390424410324,5.79530488581125,241,Female,17057,20,28
6.6092416087503585,5.557250482764819,6.196894054533356,8.070852247956568,5.892904728484531,165,Male,17282,23,28
6.073309699952618,7.642903548408886,7.021687231664199,7.67138056002855,6.618347365486198,165,Female,17113,22,28
5.3227780605231345,7.038524066302338,6.848707196316191,7.833781789927439,6.509262710292337,115,Female,17215,26,16
7.871168447171083,5.7112065410230635,4.7034470160107285,7.798053595955467,8.163551961288057,241,Female,17346,24,28
6.280751661082743,5.518957954285186,7.6555214926412205,4.334600173678325,6.1140924101210015,241,Male,17389,16,16
6.842169744343242,5.0725334258126615,4.291562992384539,8.130367867916256,8.493706604807027,165,Female,17408,26,16
4.093949002181776,4.392432183701297,6.689814457459535,4.429563244740976,7.703285638249195,165,Male,17375,17,16
7.0881774853793855,7.128554532596294,6.763188921090661,8.112026698721902,5.663418635005563,165,Female,17106,21,16
7.060478613612107,6.528468190718776,5.009242252012282,5.585441432081312,6.524836188647136,115,Female,17990,18,28
7.084669984373784,5.174242053764231,7.752121127675646,5.06062056847251,8.782749347755736,115,Male,17427,29,16
8.718740392573121,4.275622627916813,8.480884081251267,4.9795296522763595,7.833534919577315,241,Female,17392,23,16
7.409101495517417,4.094505341318818,8.895339997787588,4.386131772073719,6.0039178738088275,165,Male,17632,19,16
5.79753950286893,7.692479648325587,4.134084680698155,6.4913150365728365,6.046815338671858,241,Male,17230,17,28
6.185159768996707,4.94126594577585,5.548624534074539,7.923012152613415,7.665993925383244,165,Female,17759,28,16
7.488155979636325,5.333218096947533,8.624119067132565,7.252205877600992,5.369023852216815,165,Male,17189,21,16
4.301127358146349,4.070560968902981,4.25252703515094,8.960217370207838,4.695806124040085,165,Male,17412,20,16
7.333833577228338,4.753195274160895,5.36012596791981,7.855133758331059,6.2349739933161565,115,Male,17077,16,16
7.3531893480907975,8.37222858781248,6.666942771669046,7.641446728528223,4.899881616596392,115,Female,17867,21,16
5.051912805369204,5.210304173712289,7.700985696872882,6.056605896631156,5.418266116190198,241,Female,17113,19,16
4.644631488274267,8.76979099241536,5.140282102787454,4.604045778153418,6.6182947012159925,115,Male,17220,17,16
5.57714175462092,4.821734192000695,5.501720939068197,5.898791532747593,7.904429311819959,115,Male,17106,17,16
5.818553854713113,5.266307293298222,4.972692146144473,8.298249813531452,5.429329403718118,115,Female,17552,28,28
6.850983852089398,8.338549842384962,6.2153102716434745,5.679233511569022,5.771691064171842,241,Female,17677,22,16
6.193007567311602,6.133041693459106,6.521730248331799,4.612582011436398,6.530668597367366,115,Male,17597,17,28
8.941869190296131,5.339144695968029,8.49613485350348,6.656775039186063,8.449134205730077,115,Male,17523,23,16
4.51022405374014,7.464068813600898,7.8537719021892975,7.037237789512501,6.952928920010258,165,Female,17295,26,16
5.044383780474174,4.2561420199111994,7.5767252530198075,4.591567747353697,7.517531198828738,165,Male,17944,28,28
4.806547589424981,8.453025882892522,6.8633487907865005,7.8315529299160715,7.663743125716129,165,Male,17089,19,16
7.265541627326992,8.207807726783297,5.642901012842804,6.53951452190287,4.991536725153537,165,Female,17237,29,16
5.2664580126989105,4.428985175662179,4.350384701541601,6.935688356342884,5.009249816428799,115,Female,17411,23,28
6.331553864281531,7.993093733122473,5.294038025035913,4.192013605605318,4.305441988397075,241,Female,17852,16,16
5.222127960008014,8.805852209415978,4.973436295120788,5.078950742112436,7.838269898109081,115,Female,17474,17,28
4.794847918227599,6.460348095774467,5.139486393898352,6.202344258831761,8.313124185492102,115,Female,17224,27,28
4.551875705821526,6.8407667506301895,5.1338744058984,4.52044314292937,5.7008738112044295,115,Male,17954,23,28
7.281647947326367,7.398983701129637,6.152733407729723,7.649393389781682,5.566708101599658,165,Female,17732,24,16
